experiment,temp_C,time_min,MR_best_model,MR_unified_midilli,Deff_1_m2s,Deff_2_m2s,Ea_1_kJmol,Ea_2_kJmol,drying_time_total_min,slice_mm,DR_per_min
T45,45,5.0,0.858531,0.858531,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.023611999999999966
T45,45,6.0,0.83631,0.83631,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.022221000000000046
T45,45,7.0,0.815257,0.815257,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.02105299999999999
T45,45,8.0,0.795211,0.795211,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.020046000000000008
T45,45,9.0,0.776053,0.776053,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.01915800000000001
T45,45,10.0,0.757689,0.757689,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.018364000000000047
T45,45,11.0,0.740045,0.740045,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.017643999999999993
T45,45,12.0,0.723057,0.723057,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.016988000000000003
T45,45,13.0,0.706674,0.706674,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.016382999999999925
T45,45,14.0,0.690852,0.690852,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.015822000000000003
T45,45,15.0,0.675551,0.675551,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.015301000000000009
T45,45,16.0,0.660739,0.660739,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.014812000000000047
T45,45,17.0,0.646385,0.646385,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.014353999999999978
T45,45,18.0,0.632463,0.632463,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.01392199999999999
T45,45,19.0,0.61895,0.61895,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.013512999999999997
T45,45,20.0,0.605823,0.605823,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.013127
T45,45,21.0,0.593064,0.593064,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.012758999999999965
T45,45,22.0,0.580654,0.580654,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.012410000000000032
T45,45,23.0,0.568578,0.568578,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.012075999999999976
T45,45,24.0,0.55682,0.55682,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.011758000000000046
T45,45,25.0,0.545366,0.545366,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.011453999999999964
T45,45,26.0,0.534204,0.534204,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.011162000000000005
T45,45,27.0,0.523321,0.523321,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.010882999999999976
T45,45,28.0,0.512707,0.512707,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.010614000000000012
T45,45,29.0,0.50235,0.50235,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.01035700000000006
T45,45,30.0,0.492242,0.492242,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.01010799999999995
T45,45,31.0,0.482372,0.482372,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.00986999999999999
